completion,prompt
A,"People are tired of being stepped over The digital transformation means anyone can work from anywhere - so of course unsatisfied people will find a way to leverage their skills, experience, network, and hard work to change the terms of their financial landscape. If you can't start a business tomorrow, find ways to be more in charge of your financial situation - get your docs together, make sure your loved ones are all on the same page, be passionate about making yourself aware of what's happening - Once that trigger point hits, it's time for changes to be made; when you know where the power lies and who pulls the strings it starts and ends with you #business #finances #money Lions Financial LeVar Burton Simi Mandelbaum Eli Langer"
A,"The pandemic has driven a huge rise in entrepreneurship alongside a vast untethering from the traditional office. It's shown millions that they can do business anywhere, with people from anywhere, reach into markets far from home, easily access the cloud and teams of freelancers and gig workers to build teams as neccessary - all they need is their lap tops, some wifi and their dreams... How are you participating in this start up boom? #business #entrepreneurship #startups Lions Financial"
A,"Recent studies claim an overwhelming business case for diversity - but the evidence is flimsy and often accepted because we'd like it to be true. However, even if the business case is unclear, there are strong moral and ethical cases. The reason for diversity initiatives is not to make more money. The Telegraph op-ed:"
S,"Hi evaluation and research friends! Megan Robalewski is building out our assessment practices at Beytna, and we wanted to ask y'all what software/ platforms you find easiest to use when sorting and then visualizing data from surveys? Appreciate you!"
C,Progress on gender equality is in jeopardy so thrilled to launch these new courses for public servants and policymakers
C,"We did this ✨and I have to pinch myself everytime I see the art/ the public art projets of our artists on the streets and our MTArt Agency logo next to all of the most prestigious landlords and councils. Fantasy and reality overlap had once said Walt Disney and he was right, the imagination of my team is now tangible on the streets of many cities. All on our current public art projects are listed on my current Insta guide. Onwards always X"
C,"What a thrill it was to address the #WhartonMBA Class of 2023 at last night’s Convocation ceremony to mark the start of our new students’ journeys. As the 100th MBA class to enter The Wharton School and the first I’ve welcomed in-person on the University of Pennsylvania's beautiful campus, this history-making class is already a special one. To anyone starting or continuing their academic journeys this fall, I will offer one nugget that I shared with our MBAs: Do more than just enter the experience prepared to learn from your classroom materials; be intentional about WHAT you will learn along the way – to pursue not only intellectual or professional growth, but personal growth as well."
A,"I believe in the power of entrepreneurship in Latin America. We started Latitud one year ago. Founders have raised tens of millions of dollars, people have met their co-founders, talent has been hired. It’s been a crazy amount of serendipity where LATAM founders come together with this spirit of helping each other. We are going live with our 4th cohort. Since only a small fraction of applicants have been women, we decided to ramp things up and make this cohort free for women. Join some of the guerreras/guerreiras from previous cohorts who are building game changing businesses. Let’s tag some of them below and there will also be a link to apply in the comments. You don’t have to have a fully baked idea to join, but you need to have bit ambitions. Also, if you are a man, you can still apply 😛. We are just trying to make an extra push to attract more women because they represent a small number of applicants. Let’s elevate the startup ecosystem together uniting all of Latin America. #latitud #startups #latam #vamoslatam #venturecapital"
C,"Excited to announce that I have been officially admitted to the New York Bar! I am grateful for all of those who have helped me along the way, especially my family and close friends - some of which, I am lucky to say, are also colleagues in the legal profession after yesterday's swearing-in ceremony. I am certain that the greatest challenges are yet to come. A special thank you to the institutions that have helped me forge this path, Universidade Federal de Santa Catarina and Harvard Law School , and to our team at Milbank LLP/Milbank Brasil for being such an outstanding place for growth and development as an attorney."
A,Curious about the factors most responsible for driving up Commercial Auto insurance rates? Read it here. Which do you think are the most impactful? #insurance
S,"  📢Join me on 24-28 August 2021 either in Zurich or virtually for the 59th AIJA Annual Congress! 👉 https://lnkd.in/dHZFfths   I will be speaking on ‘Technology Transforming Tradition: Fintech Innovation in Banking and Capital Markets’ on 26 August at 10:00 CEST with Angela Ochumba, David Roche, 💡Liesbet D., Ronald Kogens and Valerio Scollo   We will discuss how new technologies have been transforming the banking and financial services sector and how incumbent players have been responding to disruptors, innovators and fintech entrepreneurs."
C,"Excited to be joining the Yes We Trust Summit as a speaker on October 7th! If you too are interested in learning about how privacy drives business, you can sign up here: https://lnkd.in/gDZWSxdx. #privacy #innovation #data #digitaltransformation"
S,"Hey data folks, check this out. Good org and great mission."
A,"Meet 🔩Bolt & Co Inc., a 🏭manufacturing company that was experiencing reduced net profits due to several production issues. After working with InnovFin Consulting Inc., and implementing blockchain technology with our guidance, they were able to 🌟revitalize their production operations!! ✨InnovFin helps organizations embrace emerging technologies through blockchain🔗education, strategy & implementation✨ To learn more about how InnovFin can help you and your organization educate, implement and strategize Blockchain, email us today at info@innovfin.ca"
A,🎙 [NEW PODCAST] Fighting the pandemic & dealing with debt: Is Sub-Saharan #Africa facing another debt crisis? World Bank Chief Economist Carmen Reinhart shares her expertise with Albert Zeufack in the latest #Afronomics. ⏩ http://wrld.bg/cFY250FUpT1
C,"What a privilege to be part of a unique Olympic Games in Tokyo. An unforgettable experience working with male and female athletes from golf and Archery GB as well as a talented comms team. Arigato for the opportunity, British Olympic Association #tokyo2020"
A,If you’re not trying to change the world then what are we doing here ? Cloud 100 is the definitive list of the Top 100 Private Cloud Companies & 20 of its rising stars published by Forbes w/ Bessemer Venture Partners and Salesforce Ventures Proud that Resilia is in this number as we democratize philanthropy and build the future of tech for good. Visit the partners pages to watch the full interview . #cloud100 #saas #tech #founders
A,"Steve Ballmer, cofounder of the Ballmer Group and former CEO of Microsoft, penned a letter on “Forging a Path for Greater Social Impact Through Technology Investments."" Here he seeks to expand technology access to non profits and human-service organizations to scale their impact. As a NationSwell member, we feel grateful to be connected to their mission. Read the full letter here: https://lnkd.in/gRJnDuHT #FollowFriday #SocialEquity #SocialInvestment #NonProfits"
A,Katharine Poole joins me to share how her skillsets as both a climate scientist and a brand designer are a perfect combination to craft better and more informed communication strategies for organizations and campaigns. She also explains why designers should reach out to climate scientists to collaborate as climate change needs a rebrand. https://lnkd.in/eYGbmfpS #rebrand #branding #design #climatecrisis #climateaction #climatescience #climatedesigners #sustainability #circulareconomy #sustainable #brand #environment
A,SHARE: EU launches Women TechEU pilot to put women at the forefront of deep tech
A,Following my previous video post today - The Loop is under construction #alexisdornier #alexisdornierdesign #architecture #design #interiordesign #art #architecturephotography #photography #travel #interior #architecturelovers #architect #home #archilovers #building #homedecor #arquitectura #ig #photooftheday #instagood #construction #travelphotography #decor #d #luxury #nature #homedesign #interiors #arquitetura
A,MURAL is now Free (forever)! What does this mean? With a free plan you get: 💗 5 active murals + All MURAL templates 💗 Unlimited visitors (hell yes!) 💗 All Facilitation Superpowers™️ features 👈 read that again 💗 Experts (aka. Playmakers) to help you create MURAL magic Try it out for 🆓🆓🆓 https://lnkd.in/dpec3qUr
